description,background/constraints/parameters,data
"How many of which system should DEC produce and using what memories and disks to maximize the profit for the next quarter? The parameters involved are the number of systems \\param{N}, whether a system is a workstation or not for each system \\param{IsWorkstation}, the price for each system \\param{Price}, the number of disk drives for each system \\param{DiskDrives}, the number of 256K memory boards for each system \\param{MemoryBoards}, the maximum number of CPUs available \\param{MaxCpu}, the minimum and maximum total disk drives in the system \\param{MinDisk} and \\param{MaxDisk} respectively, the minimum and maximum total memory boards \\param{MinMemory} and \\param{MaxMemory} respectively, the demand for each system \\param{Demand}, the demand for general purpose systems \\param{DemandGP} and for workstations \\param{DemandWS}, the number of preordered systems \\param{Preorder}, the number of alternative memory configurations possible \\param{AltMemory}, and the compatibility of alternative memory with each system \\param{AltCompatible}.","{
    ""background"": ""DEC is planning to maximize profit for the next quarter by producing an optimal mix of systems. The production will consider the type of systems (workstations or general purpose), various components such as memories and disks, and other constraints such as demand and available resources."",
""constraints"": [
        ""The number of systems produced is non-negative and integer"",
        ""Only workstations or general-purpose systems can be produced for each system according to IsWorkstation"",
        ""The production must not exceed the MaxCpu available CPUs"",
        ""The total number of disk drives across all systems must be at least MinDisk and at most MaxDisk"",
        ""The total number of 256K memory boards across all systems must be at least MinMemory and at most MaxMemory"",
        ""The production of each system must not exceed its corresponding Demand"",
        ""The total production of general purpose systems must not exceed DemandGP"",
        ""The total production of workstations must not exceed DemandWS"",
        ""Preorder systems must be fulfilled as specified by Preorder"",
        ""Each system must be configured with compatible alternative memory configurations based on AltCompatible"",
        ""The number of system configurations using alternative memory must not exceed AltMemory""
    ],
    ""objective"": ""Maximize the profit, which is calculated as the sum of the product of the number of each system produced and its corresponding Price"",
""parameters"": [
        {
            ""definition"": ""Number of systems"",
            ""symbol"": ""N"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Whether system i is a workstation"",
            ""symbol"": ""IsWorkstation"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        },
        {
            ""definition"": ""Price of system i"",
            ""symbol"": ""Price"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        },
        {
            ""definition"": ""Number of disk drives in system i"",
            ""symbol"": ""DiskDrives"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        },
        {
            ""definition"": ""Number of 256K memory boards in system i"",
            ""symbol"": ""MemoryBoards"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        },
        {
            ""definition"": ""Maximum number of CPUs available"",
            ""symbol"": ""MaxCpu"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Minimum total disk drives"",
            ""symbol"": ""MinDisk"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Maximum total disk drives"",
            ""symbol"": ""MaxDisk"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Minimum total memory boards"",
            ""symbol"": ""MinMemory"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Maximum total memory boards"",
            ""symbol"": ""MaxMemory"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Demand of system i"",
            ""symbol"": ""Demand"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        },
        {
            ""definition"": ""Demand for General Purpose systems"",
            ""symbol"": ""DemandGP"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Demand for Workstations"",
            ""symbol"": ""DemandWS"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Number of preordered system i"",
            ""symbol"": ""Preorder"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        },
        {
            ""definition"": ""Number of alternative memory configurations possible"",
            ""symbol"": ""AltMemory"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Whether the alternative memory is compatible with system i"",
            ""symbol"": ""AltCompatible"",
            ""value"": 0,
            ""shape"": [
                ""N""
            ]
        }
    ]
}","{
  ""N"": 5,
  ""IsWorkstation"": [false, false, false, true, true],
  ""Price"": [60000, 40000, 30000, 30000, 15000],
  ""DiskDrives"": [0.3, 1.7, 0, 1.4, 0],
  ""MemoryBoards"": [4, 2, 2, 2, 1],
  ""Demand"": [1800, 999999, 300, 999999, 999999],
  ""Preorder"": [0, 500, 0, 500, 400],
  ""AltCompatible"": [true, false, false, false, false],
  ""MaxCpu"": 7000,
  ""MinDisk"": 3000,
  ""MaxDisk"": 7000,
  ""MinMemory"": 8000,
  ""MaxMemory"": 16000,
  ""DemandGP"": 3800,
  ""DemandWS"": 3200,
  ""AltMemory"": 4000
}"
"What is the capacity expansion plan that results in the minimum cost, given the \\param{Demand} in period \\param{T}, the maximum oil capacity \\param{OilCap} in period \\param{T}, the \\param{CoalCost} per unit, the \\param{NukeCost} per unit, the maximum nuclear capacity \\param{MaxNuke}, the lifetime of a coal plant \\param{CoalLife}, and the lifetime of a nuclear plant \\param{NukeLife}?","{
    ""background"": ""The task is to plan the expansion of energy capacity to meet a certain demand over a period while considering the costs and capacities of different energy sources and their lifetimes."",
    ""constraints"": [
        ""Meet the energy demand in period T"",
        ""Do not exceed the maximum oil capacity in period T"",
        ""Do not exceed the maximum nuclear capacity""
    ],
    ""objective"": ""Minimize the total cost of the capacity expansion plan"",
    ""parameters"": [
        {
            ""definition"": ""Number of time periods"",
            ""symbol"": ""T"",
            ""value"": """",
            ""shape"": []
        }
        {
            ""definition"": ""The demand in period t"",
            ""symbol"": ""Demand"",
            ""value"": """",
            ""shape"": [
                ""T""
            ]
        },
        {
            ""definition"": ""The maximum oil capacity in period t"",
            ""symbol"": ""OilCap"",
            ""value"": """",
            ""shape"": [
                ""T""
            ]
        },
        {
            ""definition"": ""The cost of coal per unit"",
            ""symbol"": ""CoalCost"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""The cost of nuclear energy per unit"",
            ""symbol"": ""NukeCost"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""The maximum nuclear capacity"",
            ""symbol"": ""MaxNuke"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""The lifetime of a coal plant"",
            ""symbol"": ""CoalLife"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""The lifetime of a nuclear plant"",
            ""symbol"": ""NukeLife"",
            ""value"": 0,
            ""shape"": []
        }
    ]
}","{
  ""T"": 12,
  ""Demand"": [10, 15, 17, 20, 13, 19, 10, 25, 30, 33, 30, 35],
  ""OilCap"": [15, 14, 13, 10, 10, 7, 5, 5, 5, 5, 5, 5],
  ""CoalCost"": 10,
  ""NukeCost"": 5,
  ""MaxNuke"": 20,
  ""CoalLife"": 5,
  ""NukeLife"": 10
}"
"""The goal is to find the minimal number of nurses the hospital needs to hire for a planning period of \\param{Period}. The hospital has a known demand for nurses across a week, specified by the array \\param{Demand}, where each element corresponds to the demand for a particular day in the period.
","{
    ""background"": ""A hospital is trying to determine the minimal number of nurses to hire over a planning period to meet the daily demand for nursing staff."",
    ""constraints"": [
        ""Number of nurses is non-negative"",
        ""The number of nurses hired must meet or exceed the demand for each day of the period""
    ],
    ""objective"": ""Minimize the number of nurses that the hospital needs to hire for the planning period"",
    ""parameters"": [
        {
            ""definition"": ""Number of days"",
            ""symbol"": ""T"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""The planning period for nurse staffing"",
            ""symbol"": ""Period"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Array of demands for nurses for days"",
            ""symbol"": ""Demand"",
            ""value"": """",
            ""shape"": [
                ""T""
            ]
        }
    ]
}","{
  ""T"": 7,
  ""Period"": 4,
  ""Demand"": [0, 5, 9, 15, 4, 7, 3]
}"
"Find paths along which all data reach their intended destinations, while minimizing the total cost. The links between nodes are characterized by their capacities (\\param{Capacity}) and associated costs (\\param{Cost}), where each link i connects a start node (\\param{StartNode}_i) to an end node (\\param{EndNode}_i). There is a set number of data flow requirements (\\param{F}), each with a source node (\\param{Source}_j) and destination node (\\param{Destination}_j), and a specific data rate (\\param{DataRate}_j) that must be achieved.","{
    ""background"": ""Paths must be established in a network of nodes where links have defined capacities and associated costs, ensuring data reach their intended destinations at specific rates."",
    ""constraints"": [
        ""Data flow on a link cannot exceed its capacity"",
        ""Each link's data flow must be non-negative"",
        ""The sum of data rates on all links from each source node must be at least the required data rate for that source"",
        ""The sum of data rates on all links to each destination node must be at least the required data rate for that destination"",
        ""Flow conservation must be maintained at intermediate nodes (i.e., the amount of data entering a non-source, non-destination node on incoming links equals the data leaving on outgoing links)""
    ],
    ""objective"": ""Minimize the total cost of data transmission across all links"",
    ""parameters"": [
        {
            ""definition"": ""The number of links between nodes in the network."",
            ""symbol"": ""NumLinks"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""The starting node for link ij"",
            ""symbol"": ""StartNode"",
            ""value"": """",
            ""shape"": [""NumLinks""]
        },
        {
            ""definition"": ""The ending node for link ij"",
            ""symbol"": ""EndNode"",
            ""value"": """",
            ""shape"": [""NumLinks""]
        },
        {
            ""definition"": ""The maximum capacity for link ij"",
            ""symbol"": ""Capacity"",
            ""value"": """",
            ""shape"": [""NumLinks""]
        },
        {
            ""definition"": ""The cost for transporting data through link ij"",
            ""symbol"": ""Cost"",
            ""value"": """",
            ""shape"": [""NumLinks""]
        },
        {
            ""definition"": ""The number of data flow requirements."",
            ""symbol"": ""NumFlowReqs"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""The source node for data flow kl"",
            ""symbol"": ""Source"",
            ""value"": """",
            ""shape"": [""NumFlowReqs""]
        },
        {
            ""definition"": ""The destination node for data flow kl"",
            ""symbol"": ""Destination"",
            ""value"": """",
            ""shape"": [""NumFlowReqs""]
        },
        {
            ""definition"": ""The rate of data flow for flow kl"",
            ""symbol"": ""DataRate"",
            ""value"": """",
            ""shape"": [""NumFlowReqs""]
        }
    ]
}
","{
    ""NumLinks"": 4,
    ""StartNode"": [1, 2, 2, 3],
    ""EndNode"": [2, 3, 4, 4],
    ""Capacity"": [50, 40, 60, 50],
    ""Cost"": [2, 3, 1, 1],

    ""NumFlowReqs"": 2,
    ""Source"": [1, 2],
    ""Destination"": [4, 3],
    ""DataRate"": [40, 30]
}"
" The objective is to minimize the total fuel \\sum_{t=0}^{\\param{TotalTime}-1} |\\param{a_t}| spent subject to the initial position \\param{InitialPosition}, initial velocity \\param{InitialVelocity}, final position \\param{FinalPosition}, final velocity \\param{FinalVelocity}, and total time \\param{TotalTime}.","{
    ""background"": ""The problem involves minimizing the total fuel, represented by the sum of absolute accelerations over time, for an object with given initial and final positions and velocities over a specified total time period."",
    ""constraints"": [],
    ""objective"": ""Minimize the total fuel, which is the sum of absolute values of acceleration over time"",
    ""parameters"": [
        {
            ""definition"": ""Initial position of the object"",
            ""symbol"": ""InitialPosition"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Initial velocity of the object"",
            ""symbol"": ""InitialVelocity"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Final position of the object"",
            ""symbol"": ""FinalPosition"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Final velocity of the object"",
            ""symbol"": ""FinalVelocity"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Total time over which the object is moving"",
            ""symbol"": ""TotalTime"",
            ""value"": """",
            ""shape"": []
        }
    ]
}","{
    ""InitialPosition"": 0,
    ""InitialVelocity"": 0,
    ""FinalPosition"": 1,
    ""FinalVelocity"": 0,
    ""TotalTime"": 20
}"
"The objective is to minimize the maximum thrust required, which is max_t |a_t| over the duration T, with initial conditions set by X0, V0, and final conditions set by XT and VT.","{
    ""background"": ""The problem is to find the optimal control profile that minimizes the maximum thrust required over a certain duration, considering initial and final conditions for position and velocity."",
    ""constraints"": [
        ""Thrust limits are determined by minimizing the maximum absolute value of acceleration over time T""
    ],
    ""objective"": ""Minimize the maximum thrust required across the given duration T"",
    ""parameters"": [
        {
            ""definition"": ""Initial position of the object"",
            ""symbol"": ""X0"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Initial velocity of the object"",
            ""symbol"": ""V0"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Final position of the object"",
            ""symbol"": ""XT"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Final velocity of the object"",
            ""symbol"": ""VT"",
            ""value"": 0,
            ""shape"": []
        },
        {
            ""definition"": ""Time duration for the journey"",
            ""symbol"": ""T"",
            ""value"": 0,
            ""shape"": []
        }
    ]
}","{
    ""X0"": 0,
    ""V0"": 0,
    ""XT"": 1,
    ""VT"": 0,
    ""T"": 20
}"
"Formulate the problem of determining the quantities of each spare part to be made during the month so as to maximize \\param{Profit}. Each spare part k requires \\param{Time} on machine s, and each machine s has a maximum monthly capacity of \\param{Capacity}.","{
    ""background"": ""The problem involves determining the optimal quantities of various spare parts to be produced in a month, considering the time required on different machines and the machines' monthly capacities."",
    ""constraints"": [
        ""Every spare part quantity produced is non-negative"",
        ""Total time used on each machine for all spare parts cannot exceed the machine's monthly capacity""
    ],
    ""objective"": ""Maximize the total profit from the production of spare parts"",
   ""parameters"": [
        {
            ""definition"": ""Number of spare parts to be produced"",
            ""symbol"": ""NumParts"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Number of machines available"",
            ""symbol"": ""NumMachines"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""The time taken to make one unit of spare part k on machine s"",
            ""symbol"": ""Time"",
            ""value"": """",
            ""shape"": [""NumParts"", ""NumMachines""]
        },
        {
            ""definition"": ""Profit from producing one unit of spare part k"",
            ""symbol"": ""Profit"",
            ""value"": """",
            ""shape"": [""NumParts""]
        },
        {
            ""definition"": ""Capacity of machine s for the month"",
            ""symbol"": ""Capacity"",
            ""value"": """",
            ""shape"": [""NumMachines""]
        }
    ]
}","{
    ""NumParts"": 5,
    ""NumMachines"": 2,
    ""Time"": [
        [2, 3],
        [1, 2],
        [3, 2],
        [3, 1],
        [1, 1]
    ],
    ""Profit"": [30, 20, 40, 25, 10],
    ""Capacity"": [700, 1000]
}"
Find the lamp powers \\param{power_j} that minimize the absolute error between the illuminations \\param{ill_i} and the desired illuminations \\param{DesiredIlluminations}. The relationship between the lamp powers and the illuminations is given by coefficients \\param{Coefficients}.,"{
    ""background"": ""The problem focuses on finding the optimal powers for a set of lamps such that the illumination provided by the lamps has the minimum absolute error compared to the desired illumination levels. The relationship between lamp powers and their resulting illumination at various points is quantified by given coefficients."",
    ""constraints"": [
        ""Lamp powers are non-negative""
    ],
    ""objective"": ""Minimize the absolute error between the actual illumination levels and the desired illumination levels"",
    ""parameters"": [
        {
            ""definition"": ""Number of different illuminations"",
            ""symbol"": ""N"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Number of lamp powers"",
            ""symbol"": ""M"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Coefficients relating lamp powers to illumination"",
            ""symbol"": ""Coefficients"",
            ""value"": """",
            ""shape"": [
                ""N"",
                ""M""
            ]
        },
        {
            ""definition"": ""Desired level of illuminations"",
            ""symbol"": ""DesiredIlluminations"",
            ""value"": """",
            ""shape"": [
                ""N""
            ]
        }
    ]
}","{
  ""N"": 3,
  ""M"": 2,
  ""Coefficients"": [
    [0.5, 0.3],
    [0.2, 0.4],
    [0.1, 0.6]
  ],
  ""DesiredIlluminations"": [14, 3, 12]
}"
"We want to assign all students to schools, while minimizing the total distance traveled by all students. We have a total number of \\param{S} schools, \\param{G} student groups, and \\param{N} neighborhoods. Each school s has a capacity for student group g represented by \\param{Capacity}. The population of student group g in neighborhood n is given by \\param{Population}. The distance between neighborhood n and school s is denoted as \\param{Distance}. We may ignore the fact that numbers of students must be integers.","{
    ""background"": ""The problem involves assigning student groups from various neighborhoods to different schools with the aim of minimizing the total distance traveled by all students, taking into consideration the capacity of the schools and distribution of student groups."",
    ""constraints"": [
        ""Total number of students from each student group g assigned from neighborhood n to schools does not exceed the Population of group g in neighborhood n"",
        ""Total number of students from each student group g assigned to school s does not exceed the Capacity of school s for student group g"",
        ""Each student is assigned to exactly one school"",
        ""All populations, capacities, and distances are non-negative""
    ],
    ""objective"": ""Minimize the total distance traveled by all students in their assignments to schools"",
    ""parameters"": [
        {
            ""definition"": ""Total number of schools"",
            ""symbol"": ""S"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Total number of student groups"",
            ""symbol"": ""G"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Total number of neighborhoods"",
            ""symbol"": ""N"",
            ""value"": """",
            ""shape"": []
        },
        {
            ""definition"": ""Capacity of school s for student group g"",
            ""symbol"": ""Capacity"",
            ""value"": """",
            ""shape"": [
                ""S"",
                ""G""
            ]
        },
        {
            ""definition"": ""Population of student group g in neighborhood n"",
            ""symbol"": ""Population"",
            ""value"": """",
            ""shape"": [
                ""N"",
                ""G""
            ]
        },
        {
            ""definition"": ""Distance between neighborhood n and school s"",
            ""symbol"": ""Distance"",
            ""value"": """",
            ""shape"": [
                ""N"",
                ""S""
            ]
        }
    ]
}","{
  ""S"": 3,
  ""G"": 2,
  ""N"": 4, 
  ""Capacity"": [
    [15, 20],
    [20, 15],
    [5, 17]
  ],
  ""Population"": [
    [7, 19],
    [4, 12],
    [9, 2],
    [6, 8]
  ],
  ""Distance"": [
    [5.2, 4.0, 3.1],
    [3.8, 5.5, 6.1],
    [4.2, 3.5, 5.0],
    [5.0, 4.1, 3.2]
  ]
}"
"Minimize the total cost of the production and inventory schedule over \\param{T} periods, given \\param{Deliver} for each period, a \\param{StorageCost} for holding inventory, and a \\param{SwitchCost} for changing production between periods.","{
    ""background"": ""A production and inventory schedule over a set number of periods requires minimization of the total cost, which is a combination of production costs, storage costs for inventory, and switching costs for changing production."",
    ""constraints"": [
        ""The production amount in each period is non-negative"",
        ""The inventory level in each period is non-negative"",
        ""The production schedule must meet the delivery requirement Deliver in each period"",
        ""The switch cost is incurred when changing production between periods""
    ],
    ""objective"": ""Minimize the total cost of production and inventory over T periods"",
    ""parameters"": [
        {
            ""definition"": ""Demand for the product in each period i"",
            ""symbol"": ""Deliver"",
            ""value"": """",
            ""shape"": [
                ""T""
            ]
        },
        {
            ""definition"": ""Cost to hold one unit of product in storage for one period"",
            ""symbol"": ""StorageCost"",
            ""value"": 0.0,
            ""shape"": []
        },
        {
            ""definition"": ""Cost to switch the production from one period to another"",
            ""symbol"": ""SwitchCost"",
            ""value"": 0.0,
            ""shape"": []
        },
        {
            ""definition"": ""Total number of periods"",
            ""symbol"": ""T"",
            ""value"": 0,
            ""shape"": []
        }
    ]
}","{
  ""T"": 12,
  ""Deliver"": [100, 120, 110, 130, 150, 100, 90, 110, 95, 125, 130, 100],
  ""StorageCost"": 5,
  ""SwitchCost"": 10
}"
